1541217101683, Voiculescu, Alexandru, masculin, 1976
1810923018469, Gruia, Ciprian, masculin, 2002
1960624334552, Munteanu, Claudiu, masculin, 2020
2531017270575, Opris, Flavia, feminin, 1971
1740506111044, Munteanu, Doru, masculin, 1993
2800516310671, Baciu, Natalia, feminin, 2005
2600804322132, Craciun, Ioana, feminin, 1981
2840721359102, Nastase, Adriana, feminin, 2006
1640718276092, Hetco, David, masculin, 1983
2650101300492, Craciun, Alexandra, feminin, 1984
2920319020943, Toderas, Dora, feminin, 2015
2630630064756, Opris, Anda, feminin, 1983
2740701023190, Hosu, Anca, feminin, 1999
2630709277320, Dragulescu, Elena, feminin, 1988
1630924234547, Grigorescu, Stefan, masculin, 1981
1930710233264, Dragulescu, Raul, masculin, 2020
2890818181556, Munteanu, Anda, feminin, 2008
1511011088660, Gruia, Mihai, masculin, 1976
1781112283714, Medeleanu, Raul, masculin, 2003
1680220124320, Danciu, Sergiu, masculin, 1989
2880731170625, Nicoara, Ioana, feminin, 2006
2620403351613, Munteanu, Izabela, feminin, 1984
2901209327377, Mureseanu, Flavia, feminin, 2012
1601113264388, Grigorescu, David, masculin, 1984
2910331309231, Hosu, Ingrid, feminin, 2013
2620217017495, Toderas, Ioana, feminin, 1981
2501112151286, Hosu, Ioana, feminin, 1972
2511208195482, Lazar, Anda, feminin, 1971
2530917327207, Dogaru, Ingrid, feminin, 1980
2970508051270, Badea, Ingrid, feminin, 2020
1670714197630, Dragulescu, Sergiu, masculin, 1989
1550506305887, Sabau, Cosmin, masculin, 1974
2851018137930, Medeleanu, Izabela, feminin, 2009
1560702366303, Medeleanu, Alexandru, masculin, 1980
2640904118936, Nastase, Izabela, feminin, 1982
1611015303623, Mureseanu, Horia, masculin, 1981
2550806159117, Nicoara, Flavia, feminin, 1975
2740216159061, Mureseanu, Otlia, feminin, 2000
2671202224762, Fulga, Flavia, feminin, 1992
1540324288414, Grigorescu, Mihai, masculin, 1979
2860620173481, Dogaru, Adriana, feminin, 2007
1950731102879, Herlea, Alexandru, masculin, 2014
1620516011085, Herlea, Albert, masculin, 1987
2630511040897, Neagu, Ada, feminin, 1981
2830212067691, Neagu, Adriana, feminin, 2006
1510603328960, Hosu, Raul, masculin, 1974
2730624250205, Baciu, Ada, feminin, 1995
1570112222107, Nastase, Cornel, masculin, 1981
2771115031170, Baciu, Florina, feminin, 2000
1980726088157, Pop, Stefan, masculin, 2025
1980211368175, Neagu, Sergiu, masculin, 2020
1650214185689, Herlea, Stefan, masculin, 1985
1550313110909, Voiculescu, Stefan, masculin, 1975
1920315204277, Zarnescu, Sergiu, masculin, 2010
